# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
VFS.fileByIdCache.misses,1717348424411000000,1717348484537000000,0
FileNameCache.queries,1717348424411000000,1717348484537000000,0
VFS.fileByIdCache.hits,1717348424411000000,1717348484537000000,0
VFS.invertedFileNameIndex.requests,1717348424411000000,1717348484537000000,0
VFS.fileChildByName,1717348424411000000,1717348484537000000,0
FileNameCache.totalMisses,1717348424411000000,1717348484537000000,0
AWTEventQueue.dispatchTimeMaxNs,1717348424411000000,1717348484537000000,0
AWTEventQueue.eventsDispatched,1717348424411000000,1717348484537000000,0
FlushQueue.waitingTimeMaxNs,1717348424411000000,1717348484537000000,0
FlushQueue.executionTimeAvgNs,1717348424411000000,1717348484537000000,0.0
FlushQueue.waitingTime90PNs,1717348424411000000,1717348484537000000,0
FlushQueue.queueSize90P,1717348424411000000,1717348484537000000,0
ReadAction.executionsCount,1717348424411000000,1717348484537000000,16
FlushQueue.executionTime90PNs,1717348424411000000,1717348484537000000,0
AWTEventQueue.dispatchTime90PNs,1717348424411000000,1717348484537000000,0
WriteAction.executionsCount,1717348424411000000,1717348484537000000,1
FlushQueue.queueSizeMax,1717348424411000000,1717348484537000000,0
FlushQueue.waitingTimeAvgNs,1717348424411000000,1717348484537000000,0.0
FlushQueue.executionTimeMaxNs,1717348424411000000,1717348484537000000,0
AWTEventQueue.dispatchTimeTotalNS,1717348424411000000,1717348484537000000,3672479021
AWTEventQueue.dispatchTimeAvgNs,1717348424411000000,1717348484537000000,0.0
FlushQueue.queueSizeAvg,1717348424411000000,1717348484537000000,0.0
FlushQueue.tasksExecuted,1717348424411000000,1717348484537000000,0
writeAction.max.wait.ms,1717348424411000000,1717348484537000000,0
writeAction.wait.ms,1717348424411000000,1717348484537000000,0
writeAction.count,1717348424411000000,1717348484537000000,1
writeAction.median.wait.ms,1717348424411000000,1717348484537000000,0
cacheStateStorage.set.duration,1717348424411000000,1717348484537000000,0
cacheStateStorage.get.counter,1717348424411000000,1717348484537000000,2
cacheStateStorage.get.duration,1717348424411000000,1717348484537000000,0
cacheStateStorage.set.counter,1717348424411000000,1717348484537000000,0
FilePageCache.uncachedFileAccess,1717348424411000000,1717348484537000000,489
FilePageCacheLockFree.totalBytesRead,1717348424411000000,1717348484537000000,0
FilePageCacheLockFree.heapBytesInUse,1717348424411000000,1717348484537000000,0
FilePageCacheLockFree.totalHeapBytesAllocated,1717348424411000000,1717348484537000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1717348424411000000,1717348484537000000,0
StreamlinedBlobStorage.recordsRelocated,1717348424411000000,1717348484537000000,0
FilePageCache.maxCacheSizeInBytes,1717348424411000000,1717348484537000000,265306112
FilePageCacheLockFree.housekeeperTurnsSkipped,1717348424411000000,1717348484537000000,0
FilePageCacheLockFree.totalBytesWritten,1717348424411000000,1717348484537000000,0
FilePageCacheLockFree.totalPagesHandedOver,1717348424411000000,1717348484537000000,0
FilePageCache.capacityInBytes,1717348424411000000,1717348484537000000,503316478
FilePageCacheLockFree.totalPagesWriteMs,1717348424411000000,1717348484537000000,0
FilePageCache.totalPageDisposalsUs,1717348424411000000,1717348484537000000,1488
FilePageCacheLockFree.totalPagesReclaimed,1717348424411000000,1717348484537000000,0
StorageLockContext.competingThreads.90P,1717348424411000000,1717348484537000000,0
StreamlinedBlobStorage.recordsDeleted,1717348424411000000,1717348484537000000,0
FilePageCacheLockFree.totalPagesRequestsMs,1717348424411000000,1717348484537000000,0
FilePageCacheLockFree.totalPagesReadMs,1717348424411000000,1717348484537000000,0
MappedFileStorage.totalTimeSpentOnMappingUs,1717348424411000000,1717348484537000000,3617971
FilePageCacheLockFree.totalPageAllocationsWaited,1717348424411000000,1717348484537000000,0
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1717348424411000000,1717348484537000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1717348424411000000,1717348484537000000,265306112
MappedFileStorage.storages,1717348424411000000,1717348484537000000,6
MappedFileStorage.totalBytesMapped,1717348424411000000,1717348484537000000,164626432
FilePageCacheLockFree.totalPagesRequested,1717348424411000000,1717348484537000000,0
FilePageCache.disposedBuffers,1717348424411000000,1717348484537000000,5
FileChannelInterruptsRetryer.totalRetriedAttempts,1717348424411000000,1717348484537000000,0
FilePageCacheLockFree.totalPagesAllocated,1717348424411000000,1717348484537000000,0
FilePageCache.maxRegisteredFiles,1717348424411000000,1717348484537000000,704
FilePageCacheLockFree.housekeeperTimeSpentMs,1717348424411000000,1717348484537000000,0
StorageLockContext.competingThreads.max,1717348424411000000,1717348484537000000,0
FilePageCache.pageFastCacheHits,1717348424411000000,1717348484537000000,17914
DirectByteBufferAllocator.disposed,1717348424411000000,1717348484537000000,0
FilePageCacheLockFree.totalBytesRequested,1717348424411000000,1717348484537000000,0
FilePageCacheLockFree.totalClosedStoragesReclaimed,1717348424411000000,1717348484537000000,0
FilePageCacheLockFree.totalHeapBytesReclaimed,1717348424411000000,1717348484537000000,0
FilePageCache.pageLoads,1717348424411000000,1717348484537000000,260
StorageLockContext.competingThreads.avg,1717348424411000000,1717348484537000000,0.0
StreamlinedBlobStorage.recordsAllocated,1717348424411000000,1717348484537000000,0
MappedFileStorage.totalPagesMapped,1717348424411000000,1717348484537000000,6
FilePageCacheLockFree.totalPagesWritten,1717348424411000000,1717348484537000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1717348424411000000,1717348484537000000,0
FilePageCache.pageHits,1717348424411000000,1717348484537000000,0
DirectByteBufferAllocator.reclaimed,1717348424411000000,1717348484537000000,5
FilePageCacheLockFree.totalNativeBytesAllocated,1717348424411000000,1717348484537000000,0
FilePageCache.totalPageLoadsUs,1717348424411000000,1717348484537000000,594926
FilePageCacheLockFree.nativeBytesInUse,1717348424411000000,1717348484537000000,0
DirectByteBufferAllocator.misses,1717348424411000000,1717348484537000000,255
FilePageCacheLockFree.housekeeperTurnsDone,1717348424411000000,1717348484537000000,0
DirectByteBufferAllocator.hits,1717348424411000000,1717348484537000000,5
FilePageCacheLockFree.totalNativeBytesReclaimed,1717348424411000000,1717348484537000000,0
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1717348424411000000,1717348484537000000,0
IndexesFlusher.totalContentionQuotaSpent,1717348424411000000,1717348484537000000,32
IndexesFlusher.totalFlushesRetried,1717348424411000000,1717348484537000000,2
IndexesFlusher.totalFlushingTimeUs,1717348424411000000,1717348484537000000,884829
IndexesFlusher.totalFlushes,1717348424411000000,1717348484537000000,48
VFS.fileByIdCache.misses,1717348484537000000,1717348493918000000,0
VFS.fileByIdCache.hits,1717348484537000000,1717348493918000000,0
VFS.invertedFileNameIndex.requests,1717348484537000000,1717348493918000000,0
VFS.fileChildByName,1717348484537000000,1717348493918000000,0
AWTEventQueue.dispatchTimeMaxNs,1717348484537000000,1717348493918000000,0
AWTEventQueue.eventsDispatched,1717348484537000000,1717348493918000000,0
FlushQueue.waitingTimeMaxNs,1717348484537000000,1717348493918000000,0
FlushQueue.executionTimeAvgNs,1717348484537000000,1717348493918000000,0.0
FlushQueue.waitingTime90PNs,1717348484537000000,1717348493918000000,0
FlushQueue.queueSize90P,1717348484537000000,1717348493918000000,0
ReadAction.executionsCount,1717348484537000000,1717348493918000000,32
FlushQueue.executionTime90PNs,1717348484537000000,1717348493918000000,0
AWTEventQueue.dispatchTime90PNs,1717348484537000000,1717348493918000000,0
WriteAction.executionsCount,1717348484537000000,1717348493918000000,0
FlushQueue.queueSizeMax,1717348484537000000,1717348493918000000,0
FlushQueue.waitingTimeAvgNs,1717348484537000000,1717348493918000000,0.0
FlushQueue.executionTimeMaxNs,1717348484537000000,1717348493918000000,0
AWTEventQueue.dispatchTimeTotalNS,1717348484537000000,1717348493918000000,1695039593
AWTEventQueue.dispatchTimeAvgNs,1717348484537000000,1717348493918000000,0.0
FlushQueue.queueSizeAvg,1717348484537000000,1717348493918000000,0.0
FlushQueue.tasksExecuted,1717348484537000000,1717348493918000000,0
writeAction.max.wait.ms,1717348484537000000,1717348493918000000,0
writeAction.wait.ms,1717348484537000000,1717348493918000000,0
writeAction.count,1717348484537000000,1717348493918000000,0
writeAction.median.wait.ms,1717348484537000000,1717348493918000000,0
cacheStateStorage.set.duration,1717348484537000000,1717348493918000000,6
cacheStateStorage.get.counter,1717348484537000000,1717348493918000000,1
cacheStateStorage.get.duration,1717348484537000000,1717348493918000000,0
cacheStateStorage.set.counter,1717348484537000000,1717348493918000000,1
FilePageCache.uncachedFileAccess,1717348484537000000,1717348493918000000,0
FilePageCacheLockFree.totalBytesRead,1717348484537000000,1717348493918000000,0
FilePageCacheLockFree.heapBytesInUse,1717348484537000000,1717348493918000000,0
FilePageCacheLockFree.totalHeapBytesAllocated,1717348484537000000,1717348493918000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1717348484537000000,1717348493918000000,41959424
FilePageCache.maxCacheSizeInBytes,1717348484537000000,1717348493918000000,265306112
FilePageCacheLockFree.housekeeperTurnsSkipped,1717348484537000000,1717348493918000000,0
FilePageCacheLockFree.totalBytesWritten,1717348484537000000,1717348493918000000,0
FilePageCacheLockFree.totalPagesHandedOver,1717348484537000000,1717348493918000000,0
FilePageCache.capacityInBytes,1717348484537000000,1717348493918000000,503316478
FilePageCacheLockFree.totalPagesWriteMs,1717348484537000000,1717348493918000000,0
FilePageCache.totalPageDisposalsUs,1717348484537000000,1717348493918000000,0
FilePageCacheLockFree.totalPagesReclaimed,1717348484537000000,1717348493918000000,0
StorageLockContext.competingThreads.90P,1717348484537000000,1717348493918000000,0
FilePageCacheLockFree.totalPagesRequestsMs,1717348484537000000,1717348493918000000,0
FilePageCacheLockFree.totalPagesReadMs,1717348484537000000,1717348493918000000,0
MappedFileStorage.totalTimeSpentOnMappingUs,1717348484537000000,1717348493918000000,3617971
FilePageCacheLockFree.totalPageAllocationsWaited,1717348484537000000,1717348493918000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1717348484537000000,1717348493918000000,44056576
MappedFileStorage.storages,1717348484537000000,1717348493918000000,0
MappedFileStorage.totalBytesMapped,1717348484537000000,1717348493918000000,0
FilePageCacheLockFree.totalPagesRequested,1717348484537000000,1717348493918000000,0
FilePageCache.disposedBuffers,1717348484537000000,1717348493918000000,253
FileChannelInterruptsRetryer.totalRetriedAttempts,1717348484537000000,1717348493918000000,0
FilePageCacheLockFree.totalPagesAllocated,1717348484537000000,1717348493918000000,0
FilePageCache.maxRegisteredFiles,1717348484537000000,1717348493918000000,704
FilePageCacheLockFree.housekeeperTimeSpentMs,1717348484537000000,1717348493918000000,0
StorageLockContext.competingThreads.max,1717348484537000000,1717348493918000000,0
FilePageCache.pageFastCacheHits,1717348484537000000,1717348493918000000,120
DirectByteBufferAllocator.disposed,1717348484537000000,1717348493918000000,211
FilePageCacheLockFree.totalBytesRequested,1717348484537000000,1717348493918000000,0
FilePageCacheLockFree.totalClosedStoragesReclaimed,1717348484537000000,1717348493918000000,0
FilePageCacheLockFree.totalHeapBytesReclaimed,1717348484537000000,1717348493918000000,0
FilePageCache.pageLoads,1717348484537000000,1717348493918000000,0
StorageLockContext.competingThreads.avg,1717348484537000000,1717348493918000000,0.0
MappedFileStorage.totalPagesMapped,1717348484537000000,1717348493918000000,0
FilePageCacheLockFree.totalPagesWritten,1717348484537000000,1717348493918000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1717348484537000000,1717348493918000000,0
FilePageCache.pageHits,1717348484537000000,1717348493918000000,0
DirectByteBufferAllocator.reclaimed,1717348484537000000,1717348493918000000,42
FilePageCacheLockFree.totalNativeBytesAllocated,1717348484537000000,1717348493918000000,0
FilePageCache.totalPageLoadsUs,1717348484537000000,1717348493918000000,0
FilePageCacheLockFree.nativeBytesInUse,1717348484537000000,1717348493918000000,0
DirectByteBufferAllocator.misses,1717348484537000000,1717348493918000000,0
FilePageCacheLockFree.housekeeperTurnsDone,1717348484537000000,1717348493918000000,0
DirectByteBufferAllocator.hits,1717348484537000000,1717348493918000000,0
FilePageCacheLockFree.totalNativeBytesReclaimed,1717348484537000000,1717348493918000000,0
